,time,ao,aoNorm,aoInt,aoDInt
1,15-01-73,1.2318,1.202832461,NA,NA
2,15-02-73,0.7862,0.764034687,0.983433574,0.983433574
3,15-03-73,0.5372,0.518835752,0.828567633,0.906000604
4,15-04-73,-1.1257,-1.118679549,0.341755838,0.717919015
5,15-05-73,0.0735,0.06221428,0.285847526,0.609901143
6,15-06-73,0.5312,0.512927344,0.323694162,0.552659747
7,15-07-73,0.2705,0.256207012,0.314053141,0.512891979
8,15-08-73,0.3125,0.297565869,0.311992232,0.484192015
9,15-09-73,0.1142,0.102292982,0.288692315,0.459754553
10,15-10-73,0.3371,0.321790342,0.292002118,0.441115393
11,15-11-73,0.0022,-0.007997303,0.264729443,0.423476798
12,15-12-73,-0.1815,-0.188893064,0.226927568,0.405608686
13,15-01-74,0.2322,0.218491674,0.144899169,0.383882893
14,15-02-74,-0.4893,-0.491994398,0.040230078,0.305282602
15,15-03-74,-0.7463,-0.745071211,-0.065095502,0.230810674
16,15-04-74,0.3088,0.29392235,0.052621323,0.206716131
17,15-05-74,-0.507,-0.509424202,0.004984783,0.183310902
18,15-06-74,-0.0475,-0.056938616,-0.042504047,0.152794385
19,15-07-74,0.39,0.373882807,-0.032697731,0.123898479
20,15-08-74,-0.5334,-0.535421198,-0.10211332,0.089389683
21,15-09-74,-0.1358,-0.143890689,-0.122628626,0.055112938
22,15-10-74,-1.0239,-1.018433559,-0.234313951,0.011253266
23,15-11-74,-0.4348,-0.438326358,-0.270174705,-0.03332208
24,15-12-74,0.5565,0.537841131,-0.209613523,-0.069700504
25,15-01-75,1.5945,1.55999573,-0.097821518,-0.089927228
26,15-02-75,0.1945,0.181367176,-0.041708053,-0.096755406
27,15-03-75,0.1512,0.138728165,0.031941895,-0.088668956
28,15-04-75,0.4088,0.392395819,0.040148017,-0.089708398
29,15-05-75,-0.6143,-0.615086234,0.031342848,-0.087511893
30,15-06-75,-0.3232,-0.328429968,0.008718568,-0.083243342
31,15-07-75,0.3453,0.329865166,0.005050432,-0.080097661
32,15-08-75,0.13,0.11785179,0.059489847,-0.066630731
33,15-09-75,1.2783,1.248622624,0.175532623,-0.04178396
34,15-10-75,0.1377,0.125434247,0.270854941,0.000313448
35,15-11-75,0.6187,0.599091628,0.357306439,0.052603543
36,15-12-75,1.2898,1.259947072,0.417481935,0.104861498
37,15-01-76,0.0343,0.023612681,0.289450014,0.137134125
38,15-02-76,1.6563,1.620852333,0.40940711,0.174727056
39,15-03-76,0.5871,0.567974012,0.445177597,0.209163364
40,15-04-76,0.4397,0.42282412,0.447713289,0.243127137
41,15-05-76,0.0596,0.048526468,0.503014348,0.282433095
42,15-06-76,0.328,0.312829256,0.556452616,0.328077599
43,15-07-76,-0.3253,-0.330497911,0.50142236,0.369441927
44,15-08-76,0.5586,0.539909074,0.5365938,0.409200589
45,15-09-76,-0.7425,-0.74132922,0.37076448,0.425469911
46,15-10-76,-0.8041,-0.801988876,0.29347922,0.427355267
47,15-11-76,-0.0873,-0.096131057,0.235543996,0.417208397
48,15-12-76,-2.0743,-2.052798868,-0.040518166,0.379041722
49,15-01-77,-3.7671,-3.719757736,-0.3524657,0.325548746
50,15-02-77,-2.0105,-1.989972795,-0.653367794,0.236984171
51,15-03-77,0.3445,0.329077379,-0.673275847,0.143779717
52,15-04-77,1.3285,1.298056305,-0.600339832,0.056441957
53,15-05-77,0.1043,0.092544108,-0.596671695,-0.035198547
54,15-06-77,-0.2262,-0.232910704,-0.642150025,-0.1350821
55,15-07-77,-0.4917,-0.494357762,-0.655805013,-0.231517715
56,15-08-77,-1.4122,-1.400806035,-0.817531272,-0.344361471
57,15-09-77,0.5865,0.567383171,-0.708471906,-0.434297836
58,15-10-77,-0.0092,-0.019223278,-0.643241439,-0.512357891
59,15-11-77,0.6053,0.585896183,-0.586405836,-0.58085371
60,15-12-77,-0.2396,-0.246106149,-0.435848109,-0.613797872
61,15-01-78,-0.347,-0.351866653,-0.155190519,-0.597358274
62,15-02-78,-3.0136,-2.977760154,-0.237506132,-0.562703135
63,15-03-78,0.5019,0.484074617,-0.224589696,-0.525312623
64,15-04-78,-0.9671,-0.962500629,-0.41296944,-0.509698424
65,15-05-78,0.059,0.047935627,-0.416686814,-0.494699683
66,15-06-78,0.6346,0.61474891,-0.346048513,-0.470024557
67,15-07-78,-0.604,-0.604943466,-0.355263988,-0.444979472
68,15-08-78,-0.3537,-0.358464376,-0.268402183,-0.399218715
69,15-09-78,-0.099,-0.107652452,-0.324655152,-0.367233985
70,15-10-78,0.8946,0.870779927,-0.250488218,-0.33450455
71,15-11-78,2.4695,2.421638576,-0.097509685,-0.293763204
72,15-12-78,-0.9801,-0.97530218,-0.158276021,-0.270632197
73,15-01-79,-2.2328,-2.208879315,-0.313027076,-0.283785243
74,15-02-79,-0.6967,-0.696228371,-0.122899428,-0.274234684
75,15-03-79,-0.8141,-0.811836223,-0.230891998,-0.274759876
76,15-04-79,-1.1568,-1.149304798,-0.246459012,-0.260884007
77,15-05-79,-0.2501,-0.256445863,-0.271824136,-0.248812117
78,15-06-79,0.9332,0.908790685,-0.247320655,-0.240584796
79,15-07-79,0.0385,0.027748566,-0.194596319,-0.227195823
80,15-08-79,-0.6841,-0.683820714,-0.221709347,-0.223304754
81,15-09-79,-0.0459,-0.055363041,-0.217351896,-0.214362816
82,15-10-79,-1.2434,-1.234582821,-0.392798792,-0.22622203
