Year,Region,abundance,StdDevA,CL95A,Yc_mean1,Yc_sd1,Anomaly_yr,TotalTows,taxa
1951,SC,0.6877,0.782,0.3889,0.777442424,0.550854223,-0.162915015,18,Nyctiphanes_simplex
1952,SC,0.5324,0.7421,0.3954,0.777442424,0.550854223,-0.444840783,16,Nyctiphanes_simplex
1953,SC,0.071,0.1948,0.0487,0.777442424,0.550854223,-1.282448958,64,Nyctiphanes_simplex
1954,SC,0.2436,0.4177,0.0974,0.777442424,0.550854223,-0.969117421,73,Nyctiphanes_simplex
1955,SC,0.6101,0.6336,0.182,0.777442424,0.550854223,-0.303787131,49,Nyctiphanes_simplex
1956,SC,0.4615,0.5737,0.1723,0.777442424,0.550854223,-0.573549972,45,Nyctiphanes_simplex
1957,SC,0.9066,0.772,0.2218,0.777442424,0.550854223,0.234467797,49,Nyctiphanes_simplex
1958,SC,1.1853,0.7783,0.1914,0.777442424,0.550854223,0.740409275,66,Nyctiphanes_simplex
1959,SC,1.2416,0.8746,0.1946,0.777442424,0.550854223,0.842614174,80,Nyctiphanes_simplex
1960,SC,1.2705,0.7478,0.1949,0.777442424,0.550854223,0.895078145,59,Nyctiphanes_simplex
1961,SC,0.5854,0.5664,0.2115,0.777442424,0.550854223,-0.34862658,30,Nyctiphanes_simplex
1962,SC,0.6226,0.6401,0.2308,0.777442424,0.550854223,-0.281095102,32,Nyctiphanes_simplex
1963,SC,0.3607,0.5859,0.1926,0.777442424,0.550854223,-0.756538494,38,Nyctiphanes_simplex
1964,SC,0.9615,0.8912,0.2888,0.777442424,0.550854223,0.334131188,39,Nyctiphanes_simplex
1965,SC,0.386,0.5709,0.2411,0.777442424,0.550854223,-0.710609827,24,Nyctiphanes_simplex
1966,SC,0.8566,0.8633,0.2798,0.777442424,0.550854223,0.143699681,39,Nyctiphanes_simplex
1969,SC,0.8621,0.7833,0.2181,0.777442424,0.550854223,0.153684174,52,Nyctiphanes_simplex
1970,SC,0.2636,0.3617,0.2298,0.777442424,0.550854223,-0.932810175,12,Nyctiphanes_simplex
1972,SC,0,0,N/A,0.777442424,0.550854223,-1.411339682,19,Nyctiphanes_simplex
