Date,npgo
01-01-50,-2.188
01-02-50,-1.446
01-03-50,-0.965
01-04-50,-0.859
01-05-50,-0.634
01-06-50,-0.581
01-07-50,-0.742
01-08-50,-0.549
01-09-50,-0.602
01-10-50,0.119
01-11-50,-0.257
01-12-50,-0.493
01-01-51,-0.479
01-02-51,-0.414
01-03-51,-0.57
01-04-51,-0.561
01-05-51,-1.071
01-06-51,-1.435
01-07-51,-1.104
01-08-51,-1.175
01-09-51,-1.42
01-10-51,-1.069
01-11-51,-1.012
01-12-51,-1.225
01-01-52,-1.335
01-02-52,-1.091
01-03-52,-0.67
01-04-52,-0.434
01-05-52,-0.627
01-06-52,-0.973
01-07-52,-1.336
01-08-52,-0.897
01-09-52,-0.583
01-10-52,-0.258
01-11-52,-0.316
01-12-52,0.845
01-01-53,0.944
01-02-53,0.748
01-03-53,1.217
01-04-53,1.25
01-05-53,1.271
01-06-53,1.057
01-07-53,1.041
01-08-53,0.619
01-09-53,0.291
01-10-53,1.082
01-11-53,2.05
01-12-53,1.419
01-01-54,1.094
01-02-54,1.157
01-03-54,0.079
01-04-54,-0.373
01-05-54,-0.164
01-06-54,0.178
01-07-54,-0.035
01-08-54,-0.132
01-09-54,-0.263
01-10-54,0.184
01-11-54,0.355
01-12-54,0.404
01-01-55,0.326
01-02-55,-0.249
01-03-55,-0.216
01-04-55,0.041
01-05-55,0.261
01-06-55,-0.016
01-07-55,-0.088
01-08-55,0.275
01-09-55,-0.11
01-10-55,-0.524
01-11-55,-0.08
01-12-55,-0.518
01-01-56,0.12
01-02-56,-0.138
01-03-56,0.023
01-04-56,-0.038
01-05-56,0.142
01-06-56,0.471
01-07-56,0.464
01-08-56,0.54
01-09-56,0.301
01-10-56,-0.052
01-11-56,-0.226
01-12-56,-0.767
01-01-57,-1.272
01-02-57,-1.959
01-03-57,-1.339
01-04-57,-1.255
01-05-57,-1.038
01-06-57,-1.168
01-07-57,-0.756
01-08-57,-0.905
01-09-57,-0.922
01-10-57,-1.029
01-11-57,-1.407
01-12-57,-0.717
01-01-58,0.117
01-02-58,0.147
01-03-58,-1.152
01-04-58,-0.719
01-05-58,-0.851
01-06-58,-0.723
01-07-58,-0.87
01-08-58,-0.629
01-09-58,-0.204
01-10-58,-0.509
01-11-58,-0.775
01-12-58,-0.405
01-01-59,0.123
01-02-59,-0.591
01-03-59,-0.392
01-04-59,-0.451
01-05-59,-0.438
01-06-59,-0.373
01-07-59,-0.396
01-08-59,-0.504
01-09-59,0.073
01-10-59,0.134
01-11-59,-0.048
01-12-59,0.423
01-01-60,1.016
