Year,LogMean,Log STD,CL95,n-present,#collected
S1998,1.238991714,0.3243923,0.240313179,7,13
S1999,1.477348103,0.392184054,0.271769684,8,13
S2000,2.040428049,0.560562904,0.366234431,9,12
S2001,0.822533844,1.03524893,0.676362634,9,12
S2002,1.38079565,0.273990583,0.169821122,10,12
S2003,2.043569738,0.718525085,0.532290832,7,12
S2004,1.802269131,0.521114625,0.386047117,7,13
S2005,2.014234289,0.38057038,0.206880415,13,13
S2006,2.017648334,0.438384976,0.24803965,12,13
S2007,1.088092351,0.521420607,0.386273791,7,13
S2008,1.433952274,0.579832106,0.463962314,6,9
S2009,1.230432541,0.449125784,0.311228289,8,13
S2010,1.436231994,0.461299103,0.285916146,10,13
S2011,0.753822518,0.311845776,0.193284015,10,13
S2012,1.574619451,0.435306757,0.284400415,9,13
S2013,1.710432285,0.492817912,0.365084618,7,13
S2014,1.745865501,0.484312999,0.253698663,14,15
S2015,1.064985798,0.503174872,0.284697985,12,15
S2016,1.161095003,0.372275591,0.202371317,13,15
S2017,0.923725503,0.580362165,0.304012294,14,14
S2018,0.939136065,0.507470412,0.275864058,13,15
S2019,1.331047547,0.739110656,0.374041599,15,15
S2020,0.969497906,0.46311868,0.2425964,14,15
S2021,0.764343625,0.649181372,0.328531103,15,15
S2022,1.28488864,0.479136726,0.332024811,8,8
