Year,LogMean,Log STD,CL95,n,#samples
Oc1997,2.80369972,0.3076547,0.20100107,9,13
F1998,2.182941704,0.441703974,0.240113015,13,13
Oc1999,2.435205016,0.443220536,0.240937428,13,13
Oc2000,1.909072156,0.50203941,0.284055537,12,12
Oc2001,2.255830787,0.453229805,0.246378529,13,13
Oc2002,1.648879244,0.834818043,0.453812258,13,13
Oc2003,1.933438541,0.795297123,0.432328441,13,13
Oc2004,1.648391962,0.796002694,0.470407531,11,13
F2005,1.867313887,0.746702499,0.405912102,13,13
F2006,1.686508533,0.497543822,0.270467902,13,13
F2007,1.736707639,0.431678935,0.234663342,13,13
F2008,1.933769059,0.468440569,0.254647194,13,13
F2009,1.818248184,0.638138413,0.346895993,13,13
F2010,2.158064933,0.591868686,0.321743483,13,13
F2011,1.870467402,0.367114544,0.19956574,13,13
F2012,1.800165883,0.645812477,0.351067662,13,13
F2013,1.902168884,0.450876829,0.245099436,13,13
F2014,1.825620039,0.774425197,0.420982333,13,13
F2015,2.230601343,0.697553676,0.353010866,15,15
F2016,2.332373396,0.787456776,0.398508112,15,15
F2017,2.420027503,0.712395481,0.360521855,15,15
F2018,1.78724225,0.791328882,0.548362938,8,8
F2019,1.852974766,0.729961429,0.584090791,6,6
F2020,2.222767168,0.947331703,0.656467378,8,8
F2021,1.878457431,1.089648997,0.755088231,8,8
F2022,1.508078818,1.200709967,1.176695768,4,4
