Year,LogMean,Log STD,CL95,n,
Oc1997,2.812681385,0.542121583,0.29470065,13,13
F1998,1.812598714,0.505657488,0.274878542,13,13
Oc1999,1.799557388,0.381221038,0.207234117,13,13
Oc2000,2.236647924,0.419360949,0.237275794,12,12
Oc2001,1.585234548,0.614244446,0.333907084,13,13
Oc2002,2.402880702,0.37054895,0.201432704,13,13
Oc2003,2.274077331,0.274518487,0.14922995,13,13
Oc2004,1.767730321,0.449487464,0.244344169,13,13
F2005,2.464193589,0.668091409,0.363178627,13,13
F2006,2.29303552,0.338838682,0.184194806,13,13
F2007,2.499100053,0.414770875,0.225472016,13,13
F2008,1.680311098,0.413031976,0.22452674,13,13
F2009,1.98001505,0.150281803,0.081694119,13,13
F2010,2.461904155,0.416054057,0.226169562,13,13
F2011,1.844490651,0.573280557,0.311638861,13,13
F2012,2.357512374,0.292618634,0.159069302,13,13
F2013,1.825139539,0.374942132,0.203820865,13,13
F2014,1.612760096,0.458919261,0.249471352,13,13
F2015,2.667576568,0.284757909,0.144107385,15,15
F2016,1.813124076,0.559453844,0.283122708,15,15
F2017,2.453440193,0.364045585,0.184232485,15,15
F2018,2.179976806,0.321343818,0.222679905,8,8
F2019,1.818488787,0.39368189,0.315011119,6,6
F2020,2.463449896,0.264535417,0.183313691,8,8
F2021,2.062566037,0.226156976,0.156718789,8,8
F2022,1.783527074,0.197471434,0.193522005,4,4
