Year,LogMean,Log STD,CL95,n-present
Au2001,2.520063682,0.508682625,0.207668812,6
Au2002,0.592949505,1.219463346,0.497843826,6
Au2003,1.380206693,0.651134204,0.265824426,6
J2004,1.803815443,0.55562304,0.226832156,6
F2005,1.828647736,0.949707013,0.387716264,6
F2006,1.76088948,0.713081901,0.291114467,6
F2007,2.353436285,0.888685692,0.362804414,6
F2008,1.264087798,0.849778302,0.346920539,6
F2009,1.87053326,0.719002309,0.293531463,6
F2010,1.806829122,1.139997597,0.46540207,6
F2011,1.627034197,1.011175701,0.412810751,6
F2012,1.985272448,0.814531871,0.307864109,7
F2013,1.467935299,0.763583774,0.288607539,7
F2014,1.225685727,1.360323102,0.514153804,7
F2015,1.635512531,0.826956297,0.292373203,8
F2016,1.383643674,0.945124852,0.654938108,8
F2017,1.957613288,1.097850407,0.760771518,8
F2018,1.866922294,0.980126473,0.679192994,8
F2019,1.331929166,1.290138209,0.955747761,7
F2020,1.157178265,1.519628525,1.053048842,8
F2021,1.152129676,0.970019967,0.672189542,8
