Year,LogMean,Log STD,CL95,n-present
Au2001,2.35766855,0.623915626,0.254712488,6
Au2002,2.270686805,0.749073766,0.305808085,6
Au2003,1.642939357,0.497786363,0.203220432,6
J2004,2.62226477,0.474555292,0.193736387,6
F2005,0.77004297,0.491961115,0.200842284,6
F2006,1.859880235,0.769640992,0.314204619,6
F2007,2.174269637,0.352513258,0.143912935,6
F2008,2.320101829,0.481837204,0.196709215,6
F2009,1.551536325,1.283751542,0.524089372,6
F2010,1.943576137,0.6263991,0.255726362,6
F2011,1.790325725,0.671089446,0.273971119,6
F2012,0.732178601,0.855296769,0.323271792,7
F2013,1.483943635,0.49986934,0.188932852,7
F2014,1.903603478,0.515206771,0.194729856,7
F2015,0.64369578,0.500758965,0.17704503,8
F2016,0.865656628,0.668839128,0.463481869,8
F2017,1.576218552,0.730278325,0.50605706,8
F2018,0.760658804,0.298384652,0.206770015,8
F2019,1.849156952,0.504524245,0.373756791,7
F2020,2.276170779,0.595639593,0.412757179,8
F2021,2.125271282,0.695871254,0.482214177,8
