Year,LogMean,Log STD,CL95,n,#samples
Oc1997,2.802400142,0.240164962,0.130555161,13,13
F1998,2.579033101,0.394899365,0.21466974,13,13
Oc1999,3.11765006,0.351845478,0.19126538,13,13
Oc2000,2.873840106,0.437975663,0.247808059,12,12
Oc2001,2.65428103,0.356077293,0.193565821,13,13
Oc2002,3.084570401,0.276143746,0.15011345,13,13
Oc2003,2.436852329,0.319099524,0.173464477,13,13
Oc2004,2.805597033,0.306728404,0.16673946,13,13
F2005,2.653090958,0.409896017,0.222822013,13,13
F2006,2.996547217,0.320283466,0.174108076,13,13
F2007,2.910728245,0.384519208,0.209027023,13,13
F2008,2.616134775,0.356008561,0.193528458,13,13
F2009,2.819655782,0.550460429,0.299233698,13,13
F2010,2.650238045,0.371319228,0.201851432,13,13
F2011,3.029413777,0.339502756,0.184555801,13,13
F2012,2.903998877,0.301363023,0.163822805,13,13
F2013,2.749319583,0.690324975,0.375264931,13,13
F2014,2.792443709,0.419963727,0.228294882,13,13
F2015,2.366373194,0.347606972,0.175913399,15,15
F2016,2.621812673,0.22841263,0.11559274,15,15
F2017,2.886693907,0.346551872,0.175379445,15,15
F2018,2.654267211,0.226007394,0.156615134,8,8
F2019,2.689745734,0.140490449,0.112415772,6,6
F2020,2.473928247,0.497638937,0.34484619,8,8
F2021,1.20398008,1.253208212,1.002775416,6,8
F2022,2.902879615,0.094658106,0.092764944,4,4
