Year,LogMean,Log STD,CL95,n,#samples
Oc1997,2.561542712,0.326752104,0.177624467,13,13
F1998,2.629409343,0.297054463,0.161480646,13,13
Oc1999,2.79025637,0.211741093,0.115103769,13,13
Oc2000,2.74660734,0.578592574,0.327369567,12,12
Oc2001,2.820013612,0.238830607,0.129829797,13,13
Oc2002,3.130849802,0.268689119,0.146061069,13,13
Oc2003,2.275188372,0.278299281,0.151285212,13,13
Oc2004,2.729529128,0.215590239,0.117196189,13,13
F2005,2.883380256,0.337371229,0.183397089,13,13
F2006,3.028212129,0.330218128,0.179508619,13,13
F2007,3.136161071,0.268162212,0.145774639,13,13
F2008,2.884427608,0.283051762,0.153868691,13,13
F2009,2.891387031,0.322723057,0.175434252,13,13
F2010,2.997631418,0.250977386,0.136432861,13,13
F2011,2.739378673,0.340660409,0.185185108,13,13
F2012,3.015658463,0.258764108,0.140665772,13,13
F2013,3.042796236,0.264116381,0.1435753,13,13
F2014,3.035214636,0.33772029,0.183586841,13,13
F2015,2.312303204,0.301630873,0.152646283,15,15
F2016,2.359010313,0.555816744,0.281282082,15,15
F2017,2.765438498,0.345187861,0.17468916,15,15
F2018,2.90369751,0.347159164,0.240569027,8,8
F2019,3.068173334,0.333357926,0.266741895,6,6
F2020,2.850622219,0.219139708,0.15185607,8,8
F2021,2.946153501,0.25308785,0.175380932,8,8
F2022,3.035529817,0.360376125,0.353168603,4,4
