Year,LogMean,Log STD,CL95,n,
S1998,0.97,0.51,0.375193148,7,13
S1999,1.7,0.96,0.630028724,9,13
S2000,1.47,0.86,0.531360277,10,13
S2001,1.38,0.79,0.46621371,11,13
S2002,1.97,0.61,0.45538049,7,13
S2003,1.4,0.84,0.581652748,8,13
S2004,1.25,0.83,0.57339738,8,13
S2005,1.62,0.84,0.547250308,9,13
S2006,1.19,0.56,0.34577244,10,13
S2007,1.12,0.65,0.386813714,11,13
S2008,,,,,4
S2009,1.85,1,0.620086951,10,13
S2010,1.41,0.76,0.469314273,10,13
S2011,1.84,0.56,0.633701137,3,6
S2012,1.01,0.69,0.424936035,10,11
S2013,1.54,1.22,0.798353514,9,13
S2014,1.43,0.68,0.356045627,14,15
S2015,1.51,0.76,0.38557362,15,15
S2016,1.9,0.52,0.262617534,15,15
S2017,1.37,0.81,0.456541587,12,13
S2018,1.71,0.8,0.475490312,11,14
S2019,1.9,0.52,0.451604174,5,8
S2020,1.09,0.71,0.571473889,6,8
S2021,1.87,0.63,0.621253848,4,8
S2022,1.912009888,0.769581674,1.066585785,2,8
