Year,LogMean,Log STD,CL95,n,
Oc1997,1.64,,,1,13
F1998,1.16,0.19,0.22020216,3,13
Oc1999,0.71,0.39,0.314562481,6,13
Oc2000,1.38,0.61,0.53590885,5,12
Oc2001,1.51,0.52,0.342306277,9,13
Oc2002,2.25,0.89,0.528702499,11,13
Oc2003,0.99,0.43,0.484804018,3,13
Oc2004,0.98,0.44,0.272052681,10,13
F2005,1.7,0.32,0.195622606,10,13
F2006,1.24,0.61,0.401568626,9,13
F2007,1.36,0.94,0.583688073,10,13
F2008,1.53,0.78,0.485161395,10,13
F2009,1.95,1.21,0.899818422,7,13
F2010,2.09,0.86,0.593821739,8,13
F2011,1.62,0.63,0.372767639,11,13
F2012,1.46,0.65,0.355542606,13,13
F2013,1.67,0.66,0.374386509,12,13
F2014,1.29,0.88,0.574669504,9,13
F2015,0.61,0.63,0.715476831,3,15
F2016,1.03,0.48,0.4239002,5,15
F2017,1.05,0.63,0.435690778,8,15
F2018,1.82,0.63,0.466190955,7,8
F2019,1.7,0.55,0.54250194,4,6
F2020,1.82,0.68,0.765879188,3,8
F2021,1.54,1.18,0.870674643,7,8
F2022,1.26,0.56,0.637035994,3,4
