Year,LogMean,Log STD,CL95,n,
S1998,1.36,0.43,0.376826933,5,13
S1999,1.68,0.62,0.365049814,11,13
S2000,1.98,0.69,0.406642386,11,13
S2001,2.05,0.73,0.429989709,11,13
S2002,2.5,0.86,0.59686153,8,13
S2003,1.83,1,0.567273363,12,13
S2004,1.44,0.71,0.399549168,12,13
S2005,1.59,1.03,0.608353525,11,13
S2006,1.84,0.38,0.251303239,9,13
S2007,1.69,0.75,0.523164201,8,13
S2008,1.48,0.57,0.786307178,2,4
S2009,2.57,0.98,0.577847449,11,13
S2010,1.66,0.91,0.540393891,11,13
S2011,1.34,,,1,6
S2012,2.89,0.86,0.510489579,11,11
S2013,2.2,0.94,0.533250707,12,13
S2014,2.14,0.88,0.460436716,14,15
S2015,1.4,0.43,0.232951242,13,15
S2016,1.68,0.47,0.307491969,9,15
S2017,1.03,0.47,0.346166141,7,13
S2018,2.18,0.75,0.444313331,11,14
S2019,1.44,0.95,0.656616688,8,8
S2020,1.37,0.54,0.376594894,8,8
S2021,1.82,1.12,0.777770759,8,8
S2022,2.10,1.21,1.188994429,4,4
