Year,LogMean,Log STD,CL95,n,#samples
Oc1997,2.835839304,0.775977135,0.421825976,13,13
F1998,2.85135256,0.574183704,0.312129817,13,13
Oc1999,3.066878158,0.517835852,0.281498776,13,13
Oc2000,3.13355154,0.322973803,0.182739632,12,12
Oc2001,2.93412507,0.439358257,0.238837869,13,13
Oc2002,3.189390788,0.385416192,0.209514629,13,13
Oc2003,2.766158284,0.467889878,0.254347835,13,13
Oc2004,3.150859815,0.501963209,0.272870309,13,13
F2005,2.719240943,0.791374496,0.467672441,11,13
F2006,2.603730522,0.653192915,0.355079713,13,13
F2007,2.704856886,0.665287791,0.361654563,13,13
F2008,3.024984214,0.34286715,0.186384706,13,13
F2009,3.030836891,0.418305671,0.227393553,13,13
F2010,2.931726341,0.637789417,0.346706277,13,13
F2011,2.426446222,0.649281742,0.352953575,13,13
F2012,2.538393693,0.386624964,0.210171724,13,13
F2013,2.504862445,0.460450064,0.260524149,12,13
F2014,2.770985216,0.297479519,0.161711709,13,13
F2015,2.656078206,0.755344276,0.382256945,15,15
F2016,2.529050598,0.619437253,0.313478502,15,15
F2017,3.014234674,0.619947854,0.313736902,15,15
F2018,3.62482359,0.487210953,0.337619965,8,8
F2019,3.414265527,0.519518264,0.415701189,6,6
F2020,2.96556082,0.374636743,0.259610018,8,8
F2021,3.062539077,0.600471185,0.416105302,8,8
F2022,3.011,0.168,0.164983962,4,4
