Year,LogMean,Log STD,CL95,n,#samples
S1998,2.03,0.79,0.489067292,10,13
S1999,2.12,0.78,0.422292514,13,13
S2000,2.51,0.4,0.218949509,13,13
S2001,2.35,0.46,0.248581368,13,13
S2002,2.39,0.71,0.388320757,13,13
S2003,2.06,0.8,0.475449569,11,13
S2004,2.19,0.63,0.391472674,10,13
S2005,2.08,0.59,0.321274047,13,13
S2006,2.03,0.88,0.575079778,9,13
S2007,2.23,0.49,0.291593528,11,13
S2008,1.77,0.2,0.198340764,4,4
S2009,2.78,0.65,0.383772369,11,13
S2010,2.32,0.71,0.404529861,12,13
S2011,2.19,0.49,0.42933687,4,6
S2012,2.32,0.85,0.50252621,11,11
S2013,1.72,0.68,0.368498623,13,13
S2014,2.14,0.51,0.255723582,15,15
S2015,2.23,0.71,0.359787661,15,15
S2016,2.07,0.5,0.371139037,7,15
S2017,1.83,0.4,0.226977226,12,13
S2018,2.37,0.83,0.449238148,13,14
S2019,2.27,0.56,0.411982731,7,8
S2020,2.24,0.61,0.48789271,6,8
S2021,2.57,0.7,0.486927362,8,8
S2022,3.011379939,0.334428001,0.327739441,4,4
