"","Year","LogMean","LogSTD","CL95","taxa","season","n","num_samples","Yc_mean","Yc_sd","Anomaly_yr"
"1",1997,1.409770107,0.386875278,0.128958426,"Acartia","Fall",9,13,1.40522514738462,0.384844234257864,0.0118098680214064
"2",1998,1.06410653,0.211545095,0.094605843,"Acartia","Fall",5,13,1.40522514738462,0.384844234257864,-0.886381000464851
"3",1999,1.746574147,0.306130735,0.084905389,"Acartia","Fall",13,13,1.40522514738462,0.384844234257864,0.886979638070047
"4",2000,2.009791029,0.371808798,0.107331955,"Acartia","Fall",12,12,1.40522514738462,0.384844234257864,1.57093657069134
"5",2001,1.511102227,0.334811826,0.100949564,"Acartia","Fall",11,12,1.40522514738462,0.384844234257864,0.275116710062082
"6",2002,1.492538179,0.205780035,0.057073113,"Acartia","Fall",13,13,1.40522514738462,0.384844234257864,0.226878887204221
"7",2003,0.992181299,0.227374662,0.075791554,"Acartia","Fall",9,13,1.40522514738462,0.384844234257864,-1.07327539720358
"8",2004,1.035277606,0.20217501,0.063933352,"Acartia","Fall",10,13,1.40522514738462,0.384844234257864,-0.961291630360591
"9",2005,1.381641723,0.383653343,0.145007334,"Acartia","Fall",7,13,1.40522514738462,0.384844234257864,-0.0612804409817748
"10",2006,2.250746145,0.394912049,0.109528895,"Acartia","Fall",13,13,1.40522514738462,0.384844234257864,2.19704733071003
"11",2007,1.261479398,0.523836935,0.174612312,"Acartia","Fall",9,13,1.40522514738462,0.384844234257864,-0.373516702574005
"12",2008,1.56033298,0.445661297,0.123604204,"Acartia","Fall",13,13,1.40522514738462,0.384844234257864,0.403040552015793
"13",2009,1.619252444,0.420711989,0.116684512,"Acartia","Fall",13,13,1.40522514738462,0.384844234257864,0.556140062818185
"14",2010,1.160089423,0.569603137,0.180124328,"Acartia","Fall",10,13,1.40522514738462,0.384844234257864,-0.636973878164854
"15",2011,1.800008204,0.369441528,0.102464644,"Acartia","Fall",13,13,1.40522514738462,0.384844234257864,1.02582557168015
"16",2012,1.634847597,0.38717781,0.252956169,"Acartia","Fall",9,13,1.40522514738462,0.384844234257864,0.596663348895404
"17",2013,0.889882371,0.627277689,0.340992036,"Acartia","Fall",13,13,1.40522514738462,0.384844234257864,-1.33909444525889
"18",2014,1.858388094,0.329320083,0.186330378,"Acartia","Fall",12,13,1.40522514738462,0.384844234257864,1.17752302431987
"19",2015,0.656512649,0.557473212,0.28212037,"Acartia","Fall",15,15,1.40522514738462,0.384844234257864,-1.94549490868283
"20",2016,0.864069579,0.627889532,0.317755945,"Acartia","Fall",15,15,1.40522514738462,0.384844234257864,-1.40616779520728
"21",2017,1.227500865,0.246038867,0.160745393,"Acartia","Fall",9,15,1.40522514738462,0.384844234257864,-0.461808354040537
"22",2018,1.850046466,0.27587199,0.139610489,"Acartia","Fall",15,15,1.40522514738462,0.384844234257864,1.15584768854126
"23",2019,1.542442247,0.26464341,0.143861797,"Acartia","Fall",13,13,1.40522514738462,0.384844234257864,0.356552307143161
"24",2020,1.151321789,0.664876126,0.348283413,"Acartia","Fall",14,15,1.40522514738462,0.384844234257864,-0.659756170894035
"25",2021,1.417643561,0.368093808,0.186281168,"Acartia","Fall",15,15,1.40522514738462,0.384844234257864,0.0322686752455377
"26",2022,1.148307173,0.475787669,0.329704033,"Acartia","Fall",8,8,1.40522514738462,0.384844234257864,-0.667589511585271
"27",1998,1.238991714,0.3243923,0.240313179,"Acartia","Spring",7,13,1.36999951416,0.413150400927883,-0.317094694488431
"28",1999,1.477348103,0.392184054,0.271769684,"Acartia","Spring",8,13,1.36999951416,0.413150400927883,0.25982932268469
"29",2000,2.040428049,0.560562904,0.366234431,"Acartia","Spring",9,12,1.36999951416,0.413150400927883,1.62272270179165
"30",2001,0.822533844,1.03524893,0.676362634,"Acartia","Spring",9,12,1.36999951416,0.413150400927883,-1.3251001788464
"31",2002,1.38079565,0.273990583,0.169821122,"Acartia","Spring",10,12,1.36999951416,0.413150400927883,0.0261312486100786
"32",2003,2.043569738,0.718525085,0.532290832,"Acartia","Spring",7,12,1.36999951416,0.413150400927883,1.63032692774168
"33",2004,1.802269131,0.521114625,0.386047117,"Acartia","Spring",7,13,1.36999951416,0.413150400927883,1.04627664857441
"34",2005,2.014234289,0.38057038,0.206880415,"Acartia","Spring",13,13,1.36999951416,0.413150400927883,1.55932264229474
"35",2006,2.017648334,0.438384976,0.24803965,"Acartia","Spring",12,13,1.36999951416,0.413150400927883,1.56758608580668
"36",2007,1.088092351,0.521420607,0.386273791,"Acartia","Spring",7,13,1.36999951416,0.413150400927883,-0.682335446188294
"37",2008,1.433952274,0.579832106,0.463962314,"Acartia","Spring",6,9,1.36999951416,0.413150400927883,0.154792926973737
"38",2009,1.230432541,0.449125784,0.311228289,"Acartia","Spring",8,13,1.36999951416,0.413150400927883,-0.337811539929648
"39",2010,1.436231994,0.461299103,0.285916146,"Acartia","Spring",10,13,1.36999951416,0.413150400927883,0.160310820687213
"40",2011,0.753822518,0.311845776,0.193284015,"Acartia","Spring",10,13,1.36999951416,0.413150400927883,-1.49141086339538
"41",2012,1.574619451,0.435306757,0.284400415,"Acartia","Spring",9,13,1.36999951416,0.413150400927883,0.495267428956743
