Year,Limacina
1993,-1.784346237
1994,-1.307366447
1995,0.334097322
1996,0.559655741
1997,-0.337596376
1998,-2.624442313
1999,0.706275047
2000,0.456271665
2001,0.736463059
2002,1.234952765
2003,-0.034978953
2004,0.462648684
2005,-1.398257185
2006,-0.234131566
2007,-0.29869001
2008,0.94514055
2009,1.078051507
2010,0.544611787
2011,1.737153448
2012,-0.483871241
2013,-0.475707054
2014,0.138344156
2015,0.593887757
2016,-1.028051383
2017,0.41759748
2018,-0.030294832
2019,-0.644838552
2020,-0.742485138
2021,NA
2022,NA
2023,1.479906319
